,Unnamed: 0,BrandName,Deatils,Sizes,MRP,SellPrice,Discount,Category
5576,12,and,solid viscose round neck womens cropped top - coral,"Size:8,12,14","Rs
1699",1189,30% off,Westernwear-Women
5577,13,crimsoune club,regular mid thigh leather womens casual wear skirt - pink,"Size:Large,Medium,X-Large,XX-Large","Rs
2499",2249,10% off,Westernwear-Women
5578,14,latin quarters,solid collar neck polyester stretch womens jacket - rust,"Size:S,M,L,XL","Rs
2999",1499,50% off,Westernwear-Women
5579,15,latin quarters,solid polyester stretch mandarin womens regular top - green,"Size:S,XL","Rs
1650",825,50% off,Westernwear-Women
5580,16,latin quarters,solid polyester stretch shirt collar womens regular fit knit top - brown,"Size:S,M,L,XL","Rs
1599",799,50% off,Westernwear-Women
5581,17,zink london,solid polyester round neck womens top - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1599",959,40% off,Westernwear-Women
5582,18,zink london,printed polyester v neck womens top - pink,"Size:Large,Medium,Small,X-Large","Rs
1599",799,50% off,Westernwear-Women
5583,19,zink london,floral sleeveless polyester womens jumpsuit - cream,"Size:Large,Medium,Small,X-Large","Rs
2699",1619,40% off,Westernwear-Women
5584,20,van heusen,solid cotton round neck womens top - black,"Size:Large,Medium,Small,X-Large,X-Small",Nan,849,No Discount,Westernwear-Women
5585,21,cover story,solid regular fit linen women casual women trousers - olive,Size:32,"Rs
2790",1674,40% off,Westernwear-Women
5586,22,Nan,Nan,Nan,Nan,Nan,No Discount,Westernwear-Women
5587,23,marie claire,solid polyester round neck womens top - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1499",599,60% off,Westernwear-Women
5588,24,and,solid viscose square neck women regular top - burgundy,"Size:8,10,16,18","Rs
2299",1149,50% off,Westernwear-Women
5589,25,rare,stripes crepe sweetheart neck womens regular fit top - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1499",599,60% off,Westernwear-Women
5590,0,latin quarters,solid square neck polyester womens regular fit dress - blue,"Size:S,XL","Rs
2999",2099,30% off,Westernwear-Women
5591,1,kraus,super skinny fit full length cotton womens jeans - blue,Size:32,"Rs
1895",947,50% off,Westernwear-Women
5592,2,iti,womens purple layered asymetrical maxi - purple,Size:X-Small,Nan,2999,No Discount,Westernwear-Women
5593,3,zink london,printed round neck polyester womens shift dress - black,"Size:Small,X-Small","Rs
2499",999,60% off,Westernwear-Women
5594,4,global desi,solid sleeveless viscose womens knee length jumpsuit - yellow,"Size:XL,Large,Medium,Small,X-Small",Nan,7999,No Discount,Westernwear-Women
5595,5,w,printed 3/4 sleeves viscose womens full length jumpsuit - orange,"Size:6,8,10,12,14,16,18",Nan,3999,No Discount,Westernwear-Women
5596,6,levis,solid boat neck cotton womens casual shirt - white,"Size:Large,Medium,Small,X-Small",Nan,1599,No Discount,Westernwear-Women
5597,7,levis,skinny fit regular cotton womens jeans - indigo,"Size:28,30,32,34",Nan,3699,No Discount,Westernwear-Women
5598,8,sera,floral sweetheart neck rayon blend womens regular dress - black,"Size:Large,Medium,Small,X-Large","Rs
1998",999,50% off,Westernwear-Women
5599,9,samshek,printed square neck satin womens bodycon dress - multi,"Size:4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XX-Small,XXX-Large",Nan,3200,No Discount,Westernwear-Women
5600,10,zink london,abstract polyester square neck womens top - green,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1499",899,40% off,Westernwear-Women
5601,11,zink london,stripes cotton collared womens casual shirt - green,"Size:Large,Medium,Small,X-Small","Rs
1499",899,40% off,Westernwear-Women
5602,12,van heusen,printed modal stylized womens woven top - navy,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1999",799,60% off,Westernwear-Women
5603,13,pepe,printed viscose crew neck womens t-shirt - multi,"Size:Large,Medium,Small,X-Large","Rs
1699",1019,40% off,Westernwear-Women
5604,14,w,solid rayon collar neck womens casual jacket - black,"Size:6,8,10,12,14,16,18",Nan,2999,No Discount,Westernwear-Women
5605,15,fratini,regular fit regular length polyester blend womens culottes - natural,"Size:28,30,32,34,36",Nan,1499,No Discount,Westernwear-Women
5606,16,emblaze,solid satin cowl neck womens straight co-ordinate set - peach,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Nan,5000,No Discount,Westernwear-Women
5607,17,spykar,printed cotton blend round neck womens regular t-shirt - black,"Size:Large,Medium,Small,X-Large","Rs
1199",839,30% off,Westernwear-Women
5608,18,levis,solid cotton round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Small",Nan,1399,No Discount,Westernwear-Women
5609,19,reebok,solid polyester blend round neck womens regular fit t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",649,50% off,Westernwear-Women
5610,20,allen solly,textured rayon regular fit womens casual pants - charcoal,"Size:28,30,32","Rs
1999",1199,40% off,Westernwear-Women
5611,21,cover story,solid round neck viscose elastane poly womens regular dress - rust,"Size:Medium,Small,X-Small","Rs
2290",1374,40% off,Westernwear-Women
5612,22,Nan,Nan,Nan,Nan,Nan,No Discount,Westernwear-Women
5613,23,faballey,solid georgette halter neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1500",1200,20% off,Westernwear-Women
5614,24,insense,solid regular neck polyester womens pullover - powder blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",649,50% off,Westernwear-Women
5615,25,vero moda,stripes cotton round neck womens t-shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",1039,20% off,Westernwear-Women
5616,0,fratini,solid regular fit nr roma womens casual pants - black,"Size:26,28,30,32,34,36","Rs
1299",649,50% off,Westernwear-Women
5617,1,levis,solid cotton tapered fit womens casual shorts - white,"Size:26,28,30,32",Nan,2899,No Discount,Westernwear-Women
5618,2,van heusen,solid regular fit polyester womens casual trousers - mid blue,"Size:30,32,34","Rs
1699",999,41% off,Westernwear-Women
5619,3,cover story,solid cotton regular fit womens casual trousers - pink,"Size:26,28,30,32,34",Nan,1990,No Discount,Westernwear-Women
5620,4,campus sutra,solid crepe boat neck womens dress - black,"Size:Large,Medium,Small,X-Large",Nan,1299,No Discount,Westernwear-Women
5621,5,zink london,floral polyester collar neck womens top - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1799",1079,40% off,Westernwear-Women
5622,6,faballey,solid cotton blend round neck womens top - red,Size:Large,"Rs
950",475,50% off,Westernwear-Women
5623,7,w,womens solid casual pants - black,"Size:6,8,10,12,14,16",Nan,999,No Discount,Westernwear-Women
5624,8,gipsy,womens floral casual shirt - black,"Size:Large,Medium,Small,X-Large","Rs
1595",797,50% off,Westernwear-Women
5625,9,magre,solid satin v neck womens top - natural,"Size:Large,Medium,Small,X-Small","Rs
1790",1163,35% off,Westernwear-Women
5626,10,vero moda,printed cotton round neck womens t-shirt - green,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",909,30% off,Westernwear-Women
5627,11,reebok,solid regular fit polyester womens sports top - red,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1799",899,50% off,Westernwear-Women
5628,12,levis,skinny fit regular cotton blend womens jeans - indigo,"Size:28,30,32,34",Nan,3399,No Discount,Westernwear-Women
5629,13,spykar,printed cotton blend round neck womens regular t-shirt - navy,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1299",909,30% off,Westernwear-Women
5630,14,samshek,printed boat neck satin womens regular dress - multi,"Size:4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XX-Small,XXX-Large","Rs
2290",1832,20% off,Westernwear-Women
5631,15,only,all over print cotton round neck womens sweatshirt - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2499",1749,30% off,Westernwear-Women
5632,16,vero moda,textured polyester round neck womens dress - natural,"Size:Large,Medium,Small,X-Large,X-Small","Rs
3999",3199,20% off,Westernwear-Women
5633,17,only,cotton relaxed fit womens jeans - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
3999",3199,20% off,Westernwear-Women
5634,18,and,solid viscose collar neck womens regular top - sage,"Size:8,10,12,14,16,18","Rs
1899",1519,20% off,Westernwear-Women
5635,19,dolce crudo,womens regular fit chasing life denim jeans navy blue - navy,"Size:26,28,30,32,34","Rs
2399",959,60% off,Westernwear-Women
5636,20,109f,womens round neck embroidered top - cream,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
1999",799,60% off,Westernwear-Women
5637,21,vero moda,printed viscose v neck womens casual shirt - natural,"Size:Large,Medium,Small,X-Large,X-Small",Nan,2499,No Discount,Westernwear-Women
5638,22,Nan,Nan,Nan,Nan,Nan,No Discount,Westernwear-Women
5639,23,vip,6 layer protection mask l size black - black,"Size:Large,Medium",Nan,130,No Discount,Westernwear-Women
5640,24,zink london,floral viscose u neck womens top - cream,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1499",899,40% off,Westernwear-Women
5641,25,109f,womens 2 pocket solid pants - navy,"Size:Small,X-Small","Rs
1899",759,60% off,Westernwear-Women
5642,0,magre,solid polyester blend regular fit womens festive skirt - pink,"Size:Large,Medium,Small","Rs
1490",670,55% off,Westernwear-Women
5643,1,lovegen,embellished collared neck cotton womens casual jacket - mid blue,"Size:Large,Medium,Small","Rs
2799",1399,50% off,Westernwear-Women
5644,2,only,embellished polyester womens top - gold,"Size:34,36,38,40,42","Rs
2499",1499,40% off,Westernwear-Women
5645,3,enamor,cotton blend womens active wear track pants - island blue,"Size:XL,Large,Medium,Small,XX-Large","Rs
1049",734,30% off,Westernwear-Women
5646,4,only,all over print polyester round neck womens dress - green,"Size:34,36,38,40,42","Rs
3499",2449,30% off,Westernwear-Women
5647,5,kraus,solid tencel collar neck womens crop shirt - baby pink,"Size:Large,Medium,Small,X-Small","Rs
1199",839,30% off,Westernwear-Women
5648,6,vero moda,printed cotton round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",1039,20% off,Westernwear-Women
5649,7,life,embroidered cotton v-neck womens regular top - natural,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",649,50% off,Westernwear-Women
5650,8,vero moda,solid polyester round neck womens dress - brown,"Size:Large,Medium,Small,X-Large,X-Small","Rs
4299",3439,20% off,Westernwear-Women
5651,9,is.u,checks cotton round neck womens top - red,"Size:Medium,Small","Rs
2299",1149,50% off,Westernwear-Women
5652,10,and,self pattern cotton  women's casual wear pants - grey,"Size:28,30,32,34,36","Rs
2499",1999,20% off,Westernwear-Women
5653,11,adidas,solid blended round neck womens t-shirt - grey,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2999",1499,50% off,Westernwear-Women
5654,12,magre,solid satin v neck womens top - rust,"Size:Large,Medium,Small,X-Small","Rs
1790",1074,40% off,Westernwear-Women
5655,13,and,solid v-neck polyester womens fit & flare dress - peach,"Size:8,10,12,14,16","Rs
2499",1249,50% off,Westernwear-Women
5656,14,van heusen,printed polyester round neck womens top - navy,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1999",999,50% off,Westernwear-Women
5657,15,fratini,solid skinny fit nr roma womens casual pants - anthra,"Size:26,28,30,32,34,36","Rs
999",499,50% off,Westernwear-Women
5658,16,vero moda,stripes viscose blended square neck womens top - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2299",1379,40% off,Westernwear-Women
5659,17,puma,cotton mid rise regular fit womens athleisure pants - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
3499",2449,30% off,Westernwear-Women
5660,18,latin quarters,solid polyester stretch surplice neck womens regular fit knit top - pink,"Size:S,M,L,XL,X-Small","Rs
1599",799,50% off,Westernwear-Women
5661,19,zink london,solid sleeveless polyester womens jumpsuit - green,"Size:Large,Medium,Small,X-Large","Rs
2799",2239,20% off,Westernwear-Women
5662,20,only,solid collar neck polyester womens casual shirt - white,"Size:34,36,38,40,42","Rs
2499",1999,20% off,Westernwear-Women
5663,21,altlife,printed cotton regular neck womens t-shirt - turquoise,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
499",249,50% off,Westernwear-Women
5664,22,Nan,Nan,Nan,Nan,Nan,No Discount,Westernwear-Women
5665,23,reebok,solid regular fit cotton womens active wear tights - black,"Size:Large,Medium,Small,X-Small","Rs
2999",1499,50% off,Westernwear-Women
5666,24,rare,solid cotton round neck womens regular fit top - white,"Size:Large,Medium,Small","Rs
1599",639,60% off,Westernwear-Women
5667,25,latin quarters,solid round neck polyester womens longline dress - blue,"Size:S,M,XX-Large","Rs
2699",1349,50% off,Westernwear-Women
5668,0,kraus,checks rayon collar neck womens regular shirt - black,Size:Medium,"Rs
1399",699,50% off,Westernwear-Women
5669,1,insense,solid cotton blend loose fit womens joggers - black,Size:36,"Rs
1299",649,50% off,Westernwear-Women
5670,2,adidas,printed regular fit polyester womens active wear tights - pink,"Size:Small,X-Small","Rs
2499",1249,50% off,Westernwear-Women
5671,3,sera,printed viscose rayon tie up neck womens top - natural,Size:X-Large,"Rs
1098",494,55% off,Westernwear-Women
5672,4,lovegen,embroidered collared neck cotton womens casual jacket - ecru,Size:Large,"Rs
2499",999,60% off,Westernwear-Women
5673,5,kraus,skinny fit ankle length rayon blend womens jeggings - grey,Size:36,"Rs
1595",797,50% off,Westernwear-Women
5674,6,global desi,womens floral tie up neck straight fit top - mustard,Size:XX-Large,"Rs
1899",759,60% off,Westernwear-Women
5675,7,zink london,structured polyester regular fit womens top - white,Size:Large,"Rs
1699",499,71% off,Westernwear-Women
5676,8,and,striped straight fit viscose womens casual wear trousers - black mix,"Size:26,30","Rs
1699",849,50% off,Westernwear-Women
5677,9,global desi,geometric boat neck viscose womens straight jumpsuits - indigo,"Size:Medium,Small,X-Small","Rs
2499",1999,20% off,Westernwear-Women
5678,10,vero moda,solid round neck viscose womens sweatshirts - purple,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2799",1679,40% off,Westernwear-Women
5679,11,kraus,skinny ankle length cotton blend womens regular jeans - blue,"Size:28,30","Rs
1895",947,50% off,Westernwear-Women
5680,12,vero moda,printed cotton round neck womens t-shirt - purple,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",909,30% off,Westernwear-Women
5681,13,zink london,embroidered polyester regular fit womens shrug - blue,"Size:Large,Medium,Small","Rs
1999",799,60% off,Westernwear-Women
5682,14,faballey,self design georgette womens regular dress - black,"Size:Large,Medium,Small,X-Small","Rs
2600",1300,50% off,Westernwear-Women
5683,15,and,floral polyester boat neck womens straight gown - pink mix,Size:8,"Rs
4499",3599,20% off,Westernwear-Women
5684,16,and,womens v- neck floral top - blue,Size:16,"Rs
999",499,50% off,Westernwear-Women
5685,17,madame,solid rayon blend collar neck womens casual shirt - pink,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1999",999,50% off,Westernwear-Women
5686,18,vero moda,clean look cotton straight fit womens jeans - blue,"Size:26,27,28,29,30,31,32,33,34","Rs
3999",2799,30% off,Westernwear-Women
5687,19,vero moda,printed cotton modal round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
999",699,30% off,Westernwear-Women
5688,20,lovegen,skinny fit ankle length cotton nylon womens jeans - white,"Size:28,30,32","Rs
1599",639,60% off,Westernwear-Women
5689,21,kraus,clean look cotton blend wide fit womens jeans - blue,"Size:28,30,32,34,36,38","Rs
1995",1795,10% off,Westernwear-Women
5690,22,Nan,Nan,Nan,Nan,Nan,No Discount,Westernwear-Women
5691,23,insense,womens  round neck  printed t-shirt - red,"Size:Large,Medium,Small,X-Small","Rs
499",249,50% off,Westernwear-Women
5692,24,lovegen,womens v-neck slub t-shirt - grey melange,"Size:Medium,Small,X-Small","Rs
999",399,60% off,Westernwear-Women
5693,25,fratini,patch work cotton round neck womens regular top - pink,"Size:Large,Medium,Small,X-Large","Rs
699",349,50% off,Westernwear-Women
5694,0,vero moda,printed viscose v neck womens dress - yellow,"Size:Large,Medium,Small,X-Large,X-Small","Rs
3799",3039,20% off,Westernwear-Women
5695,1,faballey,solid georgette womens regular dress - blue,"Size:Small,X-Small","Rs
2800",1400,50% off,Westernwear-Women
